grid_id,grid_row,grid_col,lon,lat,lowlying_area_km2,lowlying_sample_count,mean_elevation_m,min_elevation_m,mean_coast_distance_km,tc_landfall_count,tc_landfall_per_year,tc_landfall_max_wind_ms,tc_landfall_mean_wind_ms,nearest_landfall_km,impact_min_wind_ms,score_lowland_area,score_landfall,score_wind,screen_score,rank_grid,low_elevation_threshold_m,coast_buffer_km,osm_coast_distance_km,osm_coast_within_inland_cap,osm_coast_contact_cell,exclusion_reason,ocean_connected_cell,ocean_sample_count,landcover_sample_count,population_sum_2020,population_density_per_lowland_km2,estuary_proxy_id
LLC_277_1390,277,1390,167.375,-20.875,5.62911683673027,7,5.4845842987745,0,0.89877325296402,8,0.195121951219512,52.942,44.0326666666667,121.279979244563,33,0.235581635375284,0.373114300021637,0.361904761904762,0.309543170213247,4483,10,200,7.57365369796753,1,1,tiny_isolated_connected_block_cells9_area23.3km2_tc8,1,0,0,NaN,NaN,
LLC_290_1393,290,1393,168.125,-17.625,9.01873909704916,11,7.40502044387804,0,1.04242373808519,6,0.146341463414634,53.97,45.16775,123.056089952464,33,0.302556436219504,0.287762071614427,0.380952380952381,0.308398082087405,4498,10,200,2.77380800247192,1,1,tiny_isolated_connected_block_cells5_area71.3km2_tc6,1,0,0,NaN,NaN,
LLC_448_0431,448,431,-72.375,21.875,40.7505708690913,51,3.38824023395953,-0.509999990463257,1.69486180222167,2,0.0487804878048781,56.54,51.143,116.837257076846,33,0.534017687943076,0,0.428571428571429,0.304593673860099,4533,10,200,4.30363082885742,1,1,tiny_isolated_connected_block_cells4_area176.6km2_tc2,1,0,0,NaN,NaN,
LLC_295_1278,295,1278,139.375,-16.375,72.6206887560706,88,5.06790212253367,0,2.16191317226652,2,0.0487804878048781,41.12,37.265,191.685050240764,33,0.626003871829865,0,0.142857142857143,0.303130313752011,4544,10,200,8.44887828826904,1,1,tiny_isolated_connected_block_cells4_area231.1km2_tc2,1,0,0,NaN,NaN,
LLC_276_1390,276,1390,167.375,-21.125,4.81864097017627,6,5.95321720787192,0,1.04529964601296,8,0.195121951219512,52.942,43.8001428571429,110.530267979519,33,0.214433589276396,0.373114300021637,0.361904761904762,0.300026549468747,4573,10,200,3.50384330749512,1,1,tiny_isolated_connected_block_cells9_area23.3km2_tc8,1,0,0,NaN,NaN,
LLC_464_0404,464,404,-79.125,25.875,1.55005820271671,2,7.08498547318572,6.67000007629395,0.883638441562653,8,0.195121951219512,74.53,43.69,89.6145581209763,33,0.0806495299330617,0.373114300021637,0.761904761904762,0.299823722764247,4575,10,200,12.6605739593506,1,1,tiny_isolated_connected_block_cells4_area21.7km2_tc8,1,0,0,NaN,NaN,
LLC_480_1240,480,1240,129.875,29.875,1.49322888151911,2,5.41003361080217,4.59999990463257,0.869614899158478,11,0.268292682926829,59.11,43.6504615384615,126.284189795529,33,0.0769945616383359,0.470817826733276,0.476190476190476,0.294403254859133,4626,10,200,0.0151276765391231,1,1,tiny_isolated_connected_block_cells2_area3.0km2_tc11,1,0,0,NaN,NaN,
LLC_402_1205,402,1205,121.125,10.375,0.846337476336422,1,0,0,0.919932544231415,9,0.219512195121951,74.53,44.7970769230769,92.264998795765,33,0.0282821340943485,0.408897183077904,0.761904761904762,0.290571547859333,4659,10,200,40.3747100830078,1,0,tiny_isolated_connected_block_cells8_area27.9km2_tc18,0,0,0,NaN,NaN,
LLC_431_0462,431,462,-64.625,17.625,6.55790182767475,8,5.83733732557609,0,1.01975141978504,4,0.0975609756097561,69.904,52.942,120.022543753654,33,0.256845985462773,0.173488269711265,0.676190476190476,0.286404572771325,4712,10,200,10.7469282150269,1,1,tiny_isolated_connected_block_cells3_area28.7km2_tc5,1,0,0,NaN,NaN,
LLC_497_1277,497,1277,139.125,34.125,0.711617399526438,1,8,8,0.85001403093338,14,0.341463414634146,53.97,40.9180714285714,49.9290270807178,33,0.0159951295039309,0.546602569732902,0.380952380952381,0.282981693312787,4745,10,200,6.41331148147583,1,1,tiny_isolated_connected_block_cells2_area1.4km2_tc14,1,0,0,NaN,NaN,
