model_domain_id,rank_domain,lon,lat,basin_id,basin_label,grid_cell_count,lowlying_area_km2,tc_landfall_count_max,tc_landfall_count_mean,tc_landfall_per_year_max,tc_landfall_max_wind_ms,mean_elevation_m,mean_coast_distance_km,mean_osm_coast_distance_km,nearest_landfall_km,screen_score_mean,population_sum_2020,population_density_per_lowland_km2,area_priority,tc_frequency_priority,population_priority,wind_priority,priority,span_km,alongshore_length_km,cross_shore_width_km,aspect_ratio,contains_estuary_proxy,estuary_proxy_count,domain_ocean_connected,ocean_connected_cell_count,osm_coast_contact_cell_count,exceeds_nominal_size_limits,limit_exception_reason,lon_min,lon_max,lat_min,lat_max,suggested_bbox_lon_min,suggested_bbox_lon_max,suggested_bbox_lat_min,suggested_bbox_lat_max,crosses_dateline,plot_rank,position_connected_rank,quicklook_basin_id
GTC_0078,89,-69.4926774846814,18.9943160630312,BASIN_NA,North American East and West Coasts,36,1632.9365047809,4,3.61111111111111,0.0975609756097561,53.97,4.88668978535161,4.63001643831863,6.88068301875773,3.82703830337028,0.324656687464447,0,0,0.427622929396047,0.173488269711265,0,0.362745098039216,0.191194403567637,371.033050263307,355.449657233919,136.404485642503,2.60585020763542,1,1,1,36,36,0,none,-71.5,-68.25,18,20,-72,-67.75,17.5,20.5,0,32,32,BASIN_NA
GTC_0095,94,-71.408156448197,41.8700019905911,BASIN_NA,North American East and West Coasts,55,2293.2932006282,2,2,0.0487804878048781,43.69,4.68000907212167,4.88890191255941,6.87837779732034,15.2160179128371,0.233181908793899,0,0,0.480561759091677,0,0,0.166666666666667,0.112779018485002,416.382655191771,390.771883409923,181.275056851425,2.15568479302811,1,3,1,52,52,0,none,-73.25,-70,40.75,44,-73.75,-69.5,40.25,44.5,0,33,33,BASIN_NA
GTC_0093,91,-66.6963093622566,45.3848721176062,BASIN_NA,North American East and West Coasts,40,940.177644945085,5,2.775,0.121951219512195,43.69,4.55460708022424,35.8999902321499,39.2249326856883,64.6923663428737,0.193938930490447,0,0,0.341591498616921,0.235408913366638,0,0.166666666666667,0.179148531736706,323.394586987656,309.034698082356,125.133625238254,2.46963753742413,0,0,1,29,29,0,none,-68.5,-65.25,44,46.25,-69,-64.75,43.5,46.75,0,34,34,BASIN_NA
GTC_0073,77,-66.3322231720705,18.1983610503734,BASIN_NA,North American East and West Coasts,22,866.351451509178,6,5.54545454545455,0.146341463414634,69.904,4.73151704956332,2.29085424994601,7.61833449513274,3.83244813769199,0.406493723190676,0,0,0.328851274937855,0.287762071614427,0,0.666666666666667,0.247541750300009,203.026916613138,190.266129504753,98.2356462149738,1.93683389722286,1,1,1,22,22,0,none,-67.25,-65.25,17.75,18.75,-67.75,-64.75,17.25,19.25,0,35,35,BASIN_NA
GTC_0091,88,-65.4204688794843,43.9298843524727,BASIN_NA,North American East and West Coasts,35,765.417113263594,6,4.6,0.146341463414634,43.69,4.73500168991887,1.84854348707516,3.74386113871018,3.43154432093809,0.246792135586123,0,0,0.309555930869733,0.287762071614427,0,0.166666666666667,0.193682681486384,265.499496049458,195.65758637402,149.148691473644,1.31182905086763,1,1,1,35,35,0,none,-66.5,-64,43.25,45.25,-67,-63.5,42.75,45.75,0,36,36,BASIN_NA
GTC_0086,78,-63.0734195735233,45.9271971039484,BASIN_NA,North American East and West Coasts,139,3420.70228147824,6,4.23741007194245,0.146341463414634,43.69,5.33638701314318,3.10759713598004,4.06666049758117,6.55525460525961,0.26586417724438,0,0,0.542902122141451,0.287762071614427,0,0.166666666666667,0.240351919740728,524.482151361644,433.889949398862,344.975706786936,1.25774059118558,1,3,1,138,138,1,kept_to_preserve_estuary_proxy,-65.25,-59.5,44.25,47.25,-65.75,-59,43.75,47.75,0,37,37,BASIN_NA
GTC_0096,86,-54.898599622552,48.3396974715917,BASIN_NA,North American East and West Coasts,136,1215.98818579159,5,3.33088235294118,0.121951219512195,53.97,4.57330610790391,1.73263545282432,3.01625729536645,3.31236869642907,0.198628513513376,0,0,0.381674292990957,0.235408913366638,0,0.362745098039216,0.206772933748768,633.463442222592,456.355528963861,415.351172051465,1.09872214085703,1,2,1,136,136,1,kept_to_preserve_estuary_proxy,-59.5,-52.5,46.5,50.25,-60,-52,46,50.75,0,38,38,BASIN_NA
GTC_0046,51,108.941514164471,13.6696203106358,BASIN_WNP,Western North Pacific and East Asia,45,3152.88642208709,13,7.57777777777778,0.317073170731707,51.4,5.28691032442337,5.56327440475319,7.97407426574083,3.87630853964109,0.396767100357096,0,0,0.53019074406962,0.523170984981065,0,0.313725490196078,0.346679091825958,579.766067744927,555.920761158835,169.706495432648,3.27577774640609,0,0,1,45,45,0,none,107.75,109.5,10.5,15.75,107.25,110,10,16.25,0,39,39,BASIN_WNP
GTC_0037,53,107.504326778119,16.5710840031692,BASIN_WNP,Western North Pacific and East Asia,26,3050.06224203995,13,10.4230769230769,0.317073170731707,48.83,4.37241614251325,7.54264116675604,10.4992044465397,3.85704678669371,0.465792731291144,0,0,0.525021256537018,0.523170984981065,0,0.264705882352941,0.340743233535124,327.415332860701,289.072578660306,78.9163578101783,3.663024836443,1,1,1,23,23,0,none,106.25,108.75,15.5,17.75,105.75,109.25,15,18.25,0,40,40,BASIN_WNP
GTC_0029,49,105.812440725268,18.5048134636059,BASIN_WNP,Western North Pacific and East Asia,22,3170.21376575859,14,12.2272727272727,0.341463414634146,48.83,4.2421779221705,12.3373695079299,14.0564265856872,8.40932100287264,0.498510029337077,0,0,0.531045252473676,0.546602569732902,0,0.264705882352941,0.35132066662319,212.825236900382,197.462784254262,90.4507591595093,2.18309703632269,1,1,1,18,18,0,none,105.25,106.75,17.5,19.25,104.75,107.25,17,19.75,0,41,41,BASIN_WNP
GTC_0026,19,106.256653587467,20.6732668030341,BASIN_WNP,Western North Pacific and East Asia,65,15458.7553686223,22,12.3230769230769,0.536585365853659,64.25,3.84744877427375,34.195239542154,41.7346129553961,3.79554239263906,0.548581835688309,0,0,0.778109752216161,0.691772504600409,0,0.558823529411765,0.488213305224572,458.622297720049,418.208665810601,247.622022814563,1.68889931944295,1,1,1,39,39,0,none,105,108.75,19.25,22,104.5,109.25,18.75,22.5,0,42,42,BASIN_WNP
