grid_id,grid_row,grid_col,lon,lat,lowlying_area_km2,lowlying_sample_count,mean_elevation_m,min_elevation_m,mean_coast_distance_km,tc_landfall_count,tc_landfall_per_year,tc_landfall_max_wind_ms,tc_landfall_mean_wind_ms,nearest_landfall_km,impact_min_wind_ms,score_lowland_area,score_landfall,score_wind,screen_score,rank_grid,low_elevation_threshold_m,coast_buffer_km,osm_coast_distance_km,osm_coast_within_inland_cap,osm_coast_contact_cell,ocean_connected_cell,ocean_sample_count,landcover_sample_count,population_sum_2020,population_density_per_lowland_km2,estuary_proxy_id,model_domain_id
LLC_499_1258,499,1258,134.375,34.625,16.977946726879,24,2.65707001675238,0,1.07329999752831,23,0.560975609756098,47.802,38.55,14.1509062211974,33,0.397376679691083,0.706226740099915,0.266666666666667,0.501310201900954,2223,10,200,4.334303855896,1,1,1,0,0,0,0,EST_0108,GTC_0017
LLC_507_1269,507,1269,137.125,36.625,117.254450897271,170,4.79645183521289,0.300000011920929,5.04028618974277,8,0.195121951219512,46.26,37.7361666666667,57.9600074857683,33,0.70285932678136,0.373114300021637,0.238095238095238,0.501246702774553,2224,10,200,14.23326587677,1,1,1,0,0,0,0,EST_0114,GTC_0061
LLC_502_1257,502,1257,134.125,35.375,31.5338698163575,45,6.54091217795112,0,6.23232374589191,17,0.414634146341463,46.26,39.031875,17.9308693482947,33,0.493566839599881,0.608523213388275,0.238095238095238,0.501228648889542,2225,10,200,16.782133102417,1,1,1,0,0,0,0,EST_0112,GTC_0061
LLC_286_0863,286,863,35.625,-18.625,205.507649923836,252,3.96187024608561,2.19000005722046,33.3402592819326,5,0.121951219512195,51.4,39.4923333333333,35.7161199822142,33,0.793270142527488,0.235408913366638,0.333333333333333,0.501135129484025,2226,10,200,48.2178039550781,1,0,0,0,0,0,0,EST_0053,GTC_0055
LLC_424_0367,424,367,-88.375,15.875,176.374463581098,213,3.05150623470746,0,3.848309298922,4,0.0975609756097561,64.25,42.5592,45.6989677918864,33,0.76860790844501,0.173488269711265,0.571428571428571,0.500983152399046,2227,10,200,5.64256954193115,1,1,1,0,0,0,0,,GTC_0032
LLC_300_1262,300,1262,135.375,-15.125,194.475471835123,234,5.43675545067886,0.5,11.8752922356329,4,0.0975609756097561,61.68,47.3614285714286,30.6963102866794,33,0.784366474264298,0.173488269711265,0.523809523809524,0.500931649874869,2228,10,200,18.0075588226318,1,1,1,0,0,0,0,EST_0115,GTC_0057
LLC_507_1283,507,1283,140.625,36.625,29.7142213030843,43,5.73721726301391,0,5.00619897649778,16,0.390243902439024,50.372,38.6417857142857,20.267241720496,33,0.484232869514919,0.589110885863617,0.314285714285714,0.500692002770018,2230,10,200,4.96378326416016,1,1,1,0,0,0,0,EST_0106,GTC_0022
LLC_291_0918,291,918,49.375,-17.375,42.7045377711078,52,7.03453460003103,1.47000002861023,1.75732577992019,11,0.268292682926829,58.082,44.4895555555556,33.335799571851,33,0.54143525241949,0.470817826733276,0.457142857142857,0.50054442285351,2231,10,200,3.83539485931396,1,1,1,0,0,0,0,EST_0061,GTC_0036
LLC_512_1284,512,1284,140.875,37.875,86.2630973221632,127,3.55467881404658,-0.150000005960464,3.62155353803678,9,0.219512195121951,48.83,37.4285454545455,41.3836950911648,33,0.653573405034484,0.408897183077904,0.285714285714286,0.500524048353822,2233,10,200,5.16504907608032,1,1,1,0,0,0,0,EST_0110,GTC_0074
LLC_501_1226,501,1226,126.375,35.125,78.1239738930445,111,4.51221268016861,0,1.64164607868821,9,0.219512195121951,51.4,38.7872307692308,47.3127129309857,33,0.637694839288529,0.408897183077904,0.333333333333333,0.500521550911,2234,10,200,2.0763521194458,1,1,1,0,0,0,0,EST_0103,GTC_0045
LLC_462_0272,462,272,-112.125,25.375,139.170931302031,179,5.21322752273073,0,2.05553669443565,7,0.170731707317073,47.288,39.1980869565217,42.3755194721649,33,0.730432487847828,0.333112440078278,0.257142857142857,0.500511024134262,2235,10,200,1.07162868976593,1,1,1,0,0,0,0,EST_0005,GTC_0064
LLC_431_1101,431,1101,95.125,17.625,213.305757771643,260,8.62033212402491,3,59.6817440783254,4,0.0975609756097561,59.11,44.5598461538462,31.1498278288012,33,0.799281268670088,0.173488269711265,0.476190476190476,0.500500450214617,2236,10,200,57.5594635009766,1,0,0,0,0,0,0,,GTC_0019
LLC_471_0278,471,278,-110.625,27.625,244.745604913959,321,1.40030281590178,-1,3.99662092853362,6,0.146341463414634,39.064,34.952,122.10469733699,33,0.821481527135077,0.287762071614427,0.104761904761905,0.500485801570841,2237,10,200,0.16607953608036,1,1,1,0,0,0,0,EST_0010,GTC_0034
LLC_417_1204,417,1204,120.875,14.125,2.50452512809389,3,7.92998979786342,7.53000020980835,17.1152720610914,34,0.829268292682927,71.96,44.6848387096774,13.7620731923898,33,0.132210377559967,0.834364641347329,0.714285714285715,0.500383383583774,2238,10,200,23.765380859375,1,1,1,0,0,0,0,,GTC_0002
LLC_413_0384,413,384,-84.125,13.125,53.6179496372666,64,7.01095984627108,1.5,56.4007891286474,7,0.170731707317073,71.96,48.2805517241379,45.8083314903629,33,0.577585165566073,0.333112440078278,0.714285714285715,0.500301157678901,2239,10,200,61.0263710021973,1,0,0,0,0,0,0,EST_0025,GTC_0028
LLC_511_0417,511,417,-75.875,37.625,204.518772248521,300,4.52537513266355,-1.5,2.04911843958202,6,0.146341463414634,43.69,35.98,29.397159067601,33,0.792491703156971,0.287762071614427,0.19047619047619,0.500297523637836,2240,10,200,0.200134947896004,1,1,1,0,0,0,0,,GTC_0035
LLC_443_1163,443,1163,110.625,20.625,4.02981595952415,5,4.69998306807521,3.30999994277954,1.19542549948148,30,0.731707317073171,68.362,40.8768918918919,35.5825392872732,33,0.190807800561257,0.793147670011546,0.647619047619048,0.500265435400041,2241,10,200,14.2642011642456,1,1,1,0,0,0,0,EST_0081,GTC_0005
LLC_406_1214,406,1214,123.375,11.375,1.68682859794629,2,0.254999995231628,0.159999996423721,0.918402254581451,30,0.731707317073171,84.81,45.7655189873418,25.1669739516148,33,0.0891222750144024,0.793147670011546,0.952380952380953,0.500221234618242,2242,10,200,13.0356597900391,1,1,1,0,0,0,0,EST_0100,GTC_0008
LLC_273_0913,273,913,48.125,-21.875,211.661971559846,265,5.59533027383124,0,4.63821256094108,4,0.0975609756097561,59.11,47.3451111111111,100.043701522089,33,0.798032566459288,0.173488269711265,0.476190476190476,0.499938534219757,2244,10,200,1.44218254089355,1,1,1,0,0,0,0,,GTC_0060
LLC_450_0386,450,386,-83.625,22.375,58.928563118971,74,6.2317498814437,0,6.02297795367537,7,0.170731707317073,69.39,47.5216363636364,38.6521589308586,33,0.592633233003723,0.333112440078278,0.666666666666667,0.499929930882986,2245,10,200,13.6359939575195,1,1,1,0,0,0,0,EST_0030,GTC_0031
LLC_314_1252,314,1252,132.875,-11.625,253.663138614562,301,5.02680000557609,1.26999998092651,14.3799405821713,3,0.0731707317073171,65.278,54.1413333333333,50.5999581140389,33,0.827262118938144,0.0977035267116395,0.590476190476191,0.499920792778249,2246,10,200,14.0404186248779,1,1,1,0,0,0,0,EST_0118,GTC_0041
LLC_496_1261,496,1261,135.125,33.875,27.8579328517977,39,4.40185275701449,0,2.22650220632176,18,0.439024390243902,46.26,37.8872105263158,18.0709542812359,33,0.474122914279475,0.626885699978363,0.238095238095238,0.499823877131395,2247,10,200,1.66566586494446,1,1,1,0,0,0,0,EST_0111,GTC_0017
LLC_413_1207,413,1207,121.625,13.125,2.51487988480936,3,4.61665921537505,3.95000004768372,1.04126617271779,32,0.780487804878049,74.53,46.2058947368421,8.58478589255539,33,0.132688838365021,0.814381038209597,0.761904761904762,0.499748106833812,2248,10,200,7.33824348449707,1,1,1,0,0,0,0,EST_0098,GTC_0002
LLC_503_1257,503,1257,134.125,35.625,30.8191690071297,44,3.51911365107501,0,2.05873213005406,17,0.414634146341463,46.26,39.064,21.9710321914435,33,0.489964542534508,0.608523213388275,0.238095238095238,0.499607615210124,2249,10,200,9.37054061889648,1,1,1,0,0,0,0,EST_0112,GTC_0061
LLC_507_0412,507,412,-77.125,36.625,126.400659596454,183,6.69315237224346,0.5,56.254089935915,8,0.195121951219512,43.69,36.9612727272727,46.3017308750375,33,0.714940873924367,0.373114300021637,0.19047619047619,0.499540541846048,2250,10,200,78.1751480102539,1,0,0,0,0,0,0,EST_0021,GTC_0035
LLC_463_0283,463,283,-109.375,25.625,44.9753138068715,58,2.73077814590447,0,1.239927662208,13,0.317073170731707,48.83,37.6337391304348,33.7629691399833,33,0.54964970669725,0.523170984981065,0.285714285714286,0.499467904863331,2251,10,200,1.60559117794037,1,1,1,0,0,0,0,EST_0008,GTC_0034
LLC_279_1197,279,1197,119.125,-20.375,29.8708562068388,37,8.01319486219871,3.72000002861023,16.4866983059601,11,0.268292682926829,66.82,48.9442222222222,13.3219368237988,33,0.485057805867632,0.470817826733276,0.619047619047619,0.499460286190888,2252,10,200,27.1952495574951,1,1,1,0,0,0,0,EST_0088,GTC_0016
