block_id,rank_block,basin_id,basin_label,lon,lat,domain_count,grid_cell_count,lowlying_area_km2,priority_max,tc_landfall_count_max,population_sum_2020,inner_area_km2,outer_area_km2,block_span_km,inner_along_half_km,inner_cross_half_km,outer_along_half_km,outer_cross_half_km,shelf_width_km,outer_buffer_km,shelf_add_area_km2,shelf_add_cell_count,shelf_add_component_count,bay_add_area_km2,bay_add_cell_count,bay_add_core_cell_count,bay_add_component_count,open_ocean_area_risk,auto_alongshore_radius_deg,auto_offshore_deg,auto_inland_deg,auto_bay_close_deg,auto_ellipse_ratio,auto_inner_radius,member_domains
ADC_SIO_01,27,BASIN_SIO,South Indian Ocean,36.5643829176754,-18.4029734262096,3,128,23417.3731850785,0.322689047187489,8,0,333834.971865248,3376514.85945033,1380.53686183933,731.09721066633,256.40446389726,1493.14619791567,773.797219241911,250,430,0,0,0,639765.939667932,533,533,2,0,12,6.95110689221982,1.5,3,0.65,6.56752794346326,GTC_0043;GTC_0055;GTC_0087
ADC_SIO_02,28,BASIN_SIO,South Indian Ocean,44.1539498410321,-19.612667368111,3,80,7231.64615961463,0.268104843361609,7,0,251826.645970152,3868315.72490128,1118.12798478508,608.99676031314,182.869471985557,1352.86265550019,977.73901387914,250,430,0,0,0,601715.17257076,599,599,3,0,12,7,1.5,3,0.722718607024927,5.47068595322619,GTC_0068;GTC_0071;GTC_0070
ADC_SIO_03,29,BASIN_SIO,South Indian Ocean,48.1309549106355,-16.823075838973,5,172,12643.1805583468,0.374118710642776,13,0,454318.102287239,5561390.06375283,1498.85253384958,797.97246839624,342.655075907406,1498.87501079047,1218.61781981475,250,430,0,0,0,1032719.31975788,1103,1103,3,0,12,7,1.5,3,0.813021640258101,7,GTC_0090;GTC_0060;GTC_0044;GTC_0058;GTC_0036
ADC_WNP_01,30,BASIN_WNP,Western North Pacific and East Asia,106.694016829497,19.0033162272334,4,158,24831.9177985079,0.488213305224572,22,0,379067.481769601,5260019.10122287,1325.09408092594,711.380348802511,285.176940725474,1473.05616829186,1388.34812867467,250,430,0,0,0,1673501.33365552,2957,2957,2,0,12,7,1.5,3,0.942495037568449,6.39040916998303,GTC_0046;GTC_0037;GTC_0029;GTC_0026
ADC_WNP_02,31,BASIN_WNP,Western North Pacific and East Asia,119.506225144577,10.8678014258857,1,38,878.870879314124,0.377351822791041,16,0,109374.499288348,4694179.79839445,409.260106103138,254.179414730502,154.96562492433,1254.8413009757,1577.20882293514,250,430,0,0,0,1547389.14785637,2350,2350,5,0,11.2723796350674,7,1.5,3,1.2568990371203,2.28332208705087,GTC_0077
ADC_WNP_03,32,BASIN_WNP,Western North Pacific and East Asia,124.209729810945,10.9090661569485,4,234,8153.58021571549,0.566360947389977,43,0,383116.597811091,5584019.80568031,799.55857000305,449.589990401969,306.992829723835,1677.51579627222,1300.00170125254,250,430,0,0,0,1957171.47220576,2056,2056,6,0,12,7,1.5,3,0.774956458914668,4.03871712542193,GTC_0008;GTC_0020;GTC_0006;GTC_0023
ADC_WNP_04,33,BASIN_WNP,Western North Pacific and East Asia,112.079843966394,21.9577474535245,2,171,17514.1149508666,0.532375697501707,34,0,331247.033310235,4030047.75283557,854.377774858695,475.817901141894,283.783975854496,1199.15119571486,1282.13908016179,250,430,0,0,0,1739274.9903097,2355,2355,4,0,10.772109196145,7,1.5,3,1.06920552199213,4.27432537856534,GTC_0005;GTC_0009
ADC_WNP_05,34,BASIN_WNP,Western North Pacific and East Asia,121.27981234295,15.0995520221551,3,177,9150.31792250453,0.601512139197299,56,0,377661.362707149,6103244.96635409,924.657461034285,511.36202759173,279.663715010757,1663.60904668266,1458.85163618591,250,430,0,0,0,2265425.38244966,3509,3509,5,0,12,7,1.5,3,0.876919754130304,4.59362223851716,GTC_0002;GTC_0001;GTC_0004
ADC_WNP_06,35,BASIN_WNP,Western North Pacific and East Asia,118.930958731054,25.0112056687362,3,158,13519.8204169366,0.553224211664856,48,0,377809.211989222,6627909.53078193,1014.05388395778,556.342357655894,348.009921621967,1776.40670356733,1490.39581176155,250,430,0,0,0,2288904.58945445,2866,2866,6,0,12,7,1.5,3,0.838994701364604,4.99768557003139,GTC_0014;GTC_0003;GTC_0007
ADC_WNP_07,36,BASIN_WNP,Western North Pacific and East Asia,120.626410968782,31.3907191993884,1,150,49561.2869333647,0.42743632825163,12,0,214523.962574223,5653577.62242524,554.41753806136,305.00465495394,250.952868093285,1161.46618363679,1918.75623124123,250,430,0,0,0,2198989.2418456,3002,3002,9,0,10.433580521351,7,1.5,3,1.55,2.73989089969403,GTC_0042
